,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asgard,Groovy
6,astyanax,Java
7,atlas,Scala
8,atlas-docs,Python
9,aws-autoscaling,Shell
10,awsobjectmapper,Groovy
11,batch_request_api,Ruby
12,batch_request_client,Ruby
13,bbparse,C
14,bettertls,Go
15,blesk,JavaScript
16,bless,Python
17,blitz4j,Java
18,brutal,Python
19,cachemover,C++
20,CassJMeter,Java
21,chaosmonkey,Go
22,Cloud-Prize,
23,codec_compare,Python
24,concurrency-limits,Java
25,conductor,Java
26,conductor-community,Java
27,conductor-docs,Python
28,conductor-ui,JavaScript
29,consoleme,Python
30,curator,Java
31,denominator,Java
32,derand,Java
33,dgs,HTML
34,dgs-codegen,Kotlin
35,dgs-examples-java,Java
36,dgs-examples-java-2.7,Java
37,dgs-examples-java.latest,Java
38,dgs-examples-java16,Java
39,dgs-examples-kotlin,Kotlin
40,dgs-examples-kotlin-2.7,Kotlin
41,dgs-examples-webflux,Java
42,dgs-federation-example,Kotlin
43,dgs-framework,Kotlin
44,dgs-intellij-plugin,Kotlin
45,dial-reference,C
46,dispatch,Python
47,dispatch-docker,Shell
48,dyno,Java
49,dyno-queues,Java
50,dynomite,C
51,dynomite-manager,Java
52,eclipse-jifa,Java
53,eclipse-mat,
54,edda,Scala
55,edda-client,Java
56,element-server,JavaScript
57,ember-batch-request,JavaScript
58,ember-nf-graph,JavaScript
59,ember-nf-graph-examples,JavaScript
60,eslint-config-netflix,JavaScript
61,eslint-config-netflix-dea,JavaScript
62,eureka,Java
63,eureka-ui,JavaScript
64,EVCache,Java
65,fabricator,Java
66,falcor,JavaScript
67,falcor-datasource-chainer,JavaScript
68,falcor-express,JavaScript
69,falcor-express-demo,HTML
70,falcor-hapi,JavaScript
71,falcor-hapi-demo,HTML
72,falcor-http-datasource,JavaScript
73,falcor-json-graph,JavaScript
74,falcor-observable,JavaScript
75,falcor-path-syntax,JavaScript
76,falcor-path-utils,JavaScript
77,falcor-restify,JavaScript
78,falcor-restify-demo,HTML
79,falcor-router,JavaScript
80,falcor-router-demo,JavaScript
81,fast_jsonapi,Ruby
82,Fenzo,Java
83,Fido,C#
84,flamescope,Python
85,frigga,Java
86,genie,Java
87,glisten,Groovy
88,go-env,Go
89,go-expect,Go
90,go-iomux,Go
91,governator,Java
92,gradle-template,Java
93,hal-9001,Go
94,hollow,Java
95,hollow-reference-implementation,Java
96,hubcommander,Python
97,Hystrix,Java
98,iceberg,Java
99,iep,Java
100,iep-shadow,
101,image_compression_comparison,Python
102,inviso,JavaScript
103,karyon,Java
104,lemur,Python
105,lemur-docker,Python
106,Lipstick,JavaScript
107,mantis,Java
108,mantis-api,Java
109,mantis-cli,JavaScript
110,mantis-connectors,Java
111,mantis-control-plane,Java
112,mantis-examples,Java
113,mantis-gradle-plugin,Groovy
114,mantis-helm,
115,mantis-mql,Clojure
116,mantis-rxcontrol,Java
117,mantis-rxnetty,
118,mantis-source-jobs,Java
119,mantis-ui,TypeScript
120,matchcut,Jupyter Notebook
121,metacat,Java
122,metaflow,Python
123,metaflow-docs,JavaScript
124,metaflow-extensions-template,Python
125,metaflow-nflx-extensions,Python
126,metaflow-service,Python
127,metaflow-tools,HCL
128,metaflow-ui,TypeScript
129,metrics-client-go,Go
130,msl,C++
131,ndbench,HTML
132,nerror,JavaScript
133,netflix-commons,Java
134,netflix-graph,Java
135,netflix.github.com,HTML
136,netflixoss-npm-build-infrastructure,
137,nf-data-explorer,TypeScript
138,nflx-geofeed,
139,nflxprofile,Python
140,NfWebCrypto,C++
141,Nicobar,Java
142,ocelli,Java
143,osstracker,Scala
144,p2plab,Go
145,photon,Java
146,PigPen,Clojure
147,pollyjs,JavaScript
148,polynote,HTML
149,Prana,Java
150,Priam,Java
151,probnik,TypeScript
152,pygenie,Python
153,pytheas,JavaScript
154,q,Java
155,Raigad,Java
156,ReactiveLab,Java
157,reactivesocket-examples,Java
158,read_bbrlog,C
159,recipes-rss,Java
160,rend,Go
161,rend-http,Go
162,rend-lmdb,Go
163,repokid,Python
164,restful-jsonapi,Ruby
165,ribbon,Java
166,runtime-health,Java
167,rx-aws-java-sdk,Java
168,s3mper,Java
169,security-bulletins,
170,security_monkey,Python
171,servo,Java
172,sherlock,R
173,signal-wrapper,Go
174,SimianArmy,Java
175,sleepy-puppy-docker,Dockerfile
176,spark,Scala
177,spectator,Java
178,spectator-cpp,C++
179,spectator-go,Go
180,spectator-js,JavaScript
181,spectator-py,Python
182,spectator-rb,Ruby
183,staash,Java
184,sureal,Python
185,suro,Java
186,Surus,Java
187,taskintrospection,C
188,tcplog_dumper,C
189,techreports,
190,titus,
191,titus-api-definitions,Makefile
192,titus-control-plane,Java
193,titus-controllers-api,Go
194,titus-executor,Go
195,titus-kube-common,Go
196,titus-resource-pool,Go
197,tslint-config-netflix,JavaScript
198,Turbine,Java
199,unleash,JavaScript
200,user2020-metaflow-tutorial,R
201,vector,JavaScript
202,vectorflow,D
203,vizceral,JavaScript
204,vizceral-component,JavaScript
205,vizceral-example,JavaScript
206,vizceral-react,JavaScript
207,vmaf,Python
208,vmaf_resource,
209,vp9-dash,
210,webpack-parse-query,JavaScript
211,weep,Go
212,Workflowable,Ruby
213,x-element,JavaScript
214,x-test,JavaScript
215,yetch,JavaScript
216,zeno,Java
217,zuul,Java
